contigName	contigLen	totalAvgDepth	D3DNA_map_sorted.bam	D3DNA_map_sorted.bam-var
k105_130322	16098	21.9374	21.9374	25.9273
k105_65181	1376	15.4046	15.4046	17.0542
k105_152060	2954	12.6951	12.6951	17.7526
k105_152062	3852	19.1505	19.1505	43.71
k105_20	1442	10.3692	10.3692	5.48326
k105_141198	2148	17.0601	17.0601	74.2264
k105_23	1019	14.229	14.229	23.6123
k105_26	1056	11.0607	11.0607	18.656
k105_141201	1541	54.1251	54.1251	993.377
k105_97766	2214	24.2355	24.2355	88.3399
k105_97767	1495	13.0134	13.0134	17.601
k105_162913	7614	20.7192	20.7192	63.1093
k105_97771	1148	14.1092	14.1092	17.983
k105_86898	2648	13.6185	13.6185	24.028
k105_43460	1873	15.0569	15.0569	23.9444
k105_86901	1682	15.6084	15.6084	14.9177
k105_43462	1645	14.7197	14.7197	14.1908
k105_86903	1255	12.0416	12.0416	5.23198
k105_10879	1122	19.6636	19.6636	63.5352
k105_10886	1077	9.15965	9.15965	11.0889
k105_76046	10886	21.6677	21.6677	50.9843
k105_108619	1257	10.5574	10.5574	9.21257
k105_32613	4599	21.3704	21.3704	31.405
k105_119497	1604	69.5433	69.5433	613.022
k105_119499	1226	19.5567	19.5567	43.5547
k105_65183	1177	6.97858	6.97858	4.85916
k105_65187	2537	25.4483	25.4483	30.1172
k105_130333	1766	64.2135	64.2135	151.227
k105_130335	1065	15.4284	15.4284	27.5055
k105_21755	5360	15.0587	15.0587	16.2771
k105_152065	2201	14.0288	14.0288	20.4542
k105_27	1053	14.8605	14.8605	41.6014
k105_141203	2672	15.0389	15.0389	22.495
k105_30	1292	10.7872	10.7872	10.42
k105_141209	1306	34.7318	34.7318	79.7428
k105_97773	1356	26.0755	26.0755	102.535
k105_97776	1391	15.809	15.809	12.0982
k105_162917	4759	25.5958	25.5958	78.5214
k105_97780	1135	8.93401	8.93401	13.1979
k105_10889	1014	10.9988	10.9988	6.3511
k105_43466	2059	24.252	24.252	48.0671
k105_10892	2108	13.2472	13.2472	21.1203
k105_86909	1065	9.47541	9.47541	12.4335
k105_86910	1833	28.7718	28.7718	119.5
k105_86912	1005	8.77661	8.77661	11.3658
k105_32614	1388	22.0444	22.0444	86.4224
k105_108625	1900	31.2829	31.2829	62.6557
k105_32615	1348	9.29967	9.29967	7.36957
k105_108628	1444	16.9815	16.9815	51.873
k105_54332	16504	302.696	302.696	907.395
k105_119519	3858	13.6324	13.6324	17.8333
k105_130338	2539	10.946	10.946	10.3383
k105_21768	1226	23.539	23.539	103.277
k105_152070	3060	10.9292	10.9292	10.71
k105_21770	1278	21.4672	21.4672	75.786
k105_152071	1337	22.8147	22.8147	69.2656
k105_162924	1401	20.7506	20.7506	112.835
k105_162925	1823	21.1064	21.1064	125.929
k105_162926	1394	20.1986	20.1994	78.057
k105_97783	1150	13.077	13.077	29.3285
k105_40	1282	9.74117	9.74117	12.5068
k105_97793	1387	31.152	31.152	96.3684
k105_43475	1204	11.8937	11.8937	11.134
k105_10894	1303	86.6696	86.6696	515.355
k105_10899	3320	21.5609	21.5609	35.5941
k105_86924	1737	31.4959	31.4959	38.2878
k105_86926	1638	57.6519	57.6519	206.064
k105_108630	2387	11.6544	11.6544	12.4114
k105_108634	2559	12.587	12.587	18.2841
k105_54334	1134	9.23577	9.23577	9.55374
k105_54335	1291	9.11744	9.11744	16.8284
k105_54339	1600	11.3614	11.3614	16.2779
k105_119528	1041	8.60494	8.60494	5.72466
k105_65207	1828	12.3159	12.3159	11.738
k105_65208	1567	10.0995	10.0995	8.25211
k105_65216	1014	12.4653	12.4653	11.4611
k105_21782	1668	19.0764	19.0764	47.5074
k105_21787	1065	20.3158	20.3158	44.9122
k105_152089	1000	163.681	163.681	473.694
k105_21788	1150	14.185	14.185	23.3442
k105_162938	1141	13.7134	13.7134	29.5542
k105_97796	2306	13.1081	13.1081	15.5155
k105_97797	1254	10.1069	10.1069	8.69755
k105_58	1321	11.0632	11.0632	7.96694
k105_43476	6662	15.3942	15.3942	18.9316
k105_10903	2501	11.2288	11.2288	10.7722
k105_10907	1604	18.2242	18.2242	24.7742
k105_43483	1218	10.589	10.589	19.2377
k105_43484	1183	13.153	13.153	11.3119
k105_86928	1101	21.2902	21.2902	95.1051
k105_76062	9818	31.3543	31.3543	43.7089
k105_76065	1025	17.224	17.224	81.9814
k105_32620	7925	24.2854	24.2854	59.719
k105_108645	1096	242.574	242.574	483.593
k105_32627	3343	11.8268	11.8268	11.9984
k105_119539	2257	10.5781	10.5781	14.413
k105_54343	6914	20.7076	20.7076	31.7102
k105_119542	1667	155.693	155.693	5362.08
k105_65221	3111	14.5447	14.5447	19.1258
k105_65222	1071	9.99457	9.99457	9.96192
k105_152092	1382	14.1161	14.1161	20.5428
k105_152095	1140	8.11515	8.11616	12.9966
k105_21792	3079	11.7893	11.7893	13.4327
k105_21795	1510	24.9816	24.9816	67.0836
k105_162943	1950	24.3189	24.3189	60.6529
k105_162947	1179	23.069	23.069	44.8329
k105_97804	1544	12.241	12.241	9.19381
k105_67	1661	15.1794	15.1794	27.2094
k105_97817	1089	30.6315	30.6315	314.738
k105_10908	2276	17.8467	17.8467	34.2729
k105_10911	1292	13.7233	13.7233	33.3818
k105_10912	1329	17.8236	17.8244	15.0362
k105_43491	2850	14.833	14.833	24.1332
k105_10914	1103	7.9213	7.9213	5.20283
k105_43493	1291	22.0088	22.0088	91.4667
k105_108647	1661	14.8617	14.8617	21.8318
k105_76072	2608	12.3076	12.3076	10.1185
k105_108649	3179	21.7814	21.7814	76.8211
k105_76073	1272	31.6266	31.6266	112.229
k105_76078	1476	11.9035	11.9035	8.19746
k105_108664	1145	16.192	16.192	24.6321
k105_76084	1770	12.208	12.208	13.7693
k105_108673	1647	52.7996	52.7996	123.865
k105_108679	1008	10.6597	10.6597	10.003
k105_86943	1355	7.23403	7.23403	3.39036
k105_32634	1198	15.0305	15.0305	28.6925
k105_32636	1129	12.1696	12.1696	12.0223
k105_21797	1284	33.9841	33.9841	64.316
k105_86948	3564	14.5996	14.5996	21.4585
k105_86950	2073	16.3344	16.3344	38.2342
k105_21802	2457	12.0793	12.0793	13.4625
k105_86955	1230	14.3287	14.3287	33.4276
k105_119543	3779	20.4478	20.4478	63.2601
k105_32642	1238	12.8805	12.8805	18.8781
k105_119552	1154	8.06773	8.06773	5.98145
k105_119553	1116	12.5	12.5	14.4803
k105_119554	1026	18.2477	18.2489	25.0785
k105_130345	16737	23.2636	23.2636	35.6361
k105_130351	3045	16.3306	16.3306	29.7912
k105_130359	1195	12.399	12.399	19.5695
k105_162953	3262	9.94248	9.94248	7.403
k105_83	1181	18.6382	18.6382	21.2
k105_85	1759	21.5488	21.5488	28.8957
k105_21804	2251	14.3479	14.3479	10.8185
k105_10926	1278	14.0771	14.0771	15.844
k105_21810	3772	14.8327	14.8327	30.758
k105_65223	1730	14.0525	14.0525	21.1733
k105_54358	4680	25.8146	25.8146	50.6461
k105_65225	1319	10.1754	10.1754	8.41701
k105_76092	1017	12.1845	12.1845	8.7142
k105_76093	1921	21.4867	21.4867	69.2547
k105_97831	1048	34.2829	34.2829	230.081
k105_54378	1161	18.3333	18.3333	54.5531
k105_89	2135	11.4982	11.4982	13.7622
k105_32655	1351	24.1057	24.1057	86.1209
k105_43495	1465	14.2015	14.2015	23.6756
k105_43496	1548	9.73963	9.73963	8.72671
k105_32661	3400	11.3505	11.3505	14.2598
k105_43497	2349	12.6385	12.6385	7.66126
k105_65235	1849	15.4979	15.4979	22.0556
k105_65242	3479	12.8264	12.8264	13.5215
k105_162957	2791	21.4601	21.4601	33.3954
k105_162960	2380	36.4516	36.4516	89.5027
k105_152116	4755	17.3357	17.3357	27.1901
k105_152117	2729	21.9554	21.9554	50.3507
k105_21814	3406	11.578	11.578	14.4941
k105_21818	1012	10.1473	10.1473	9.76574
k105_86969	1839	22.6063	22.6063	34.6157
k105_76095	1537	12.5386	12.5386	10.9341
k105_76100	1781	61.3237	61.3237	161.005
k105_76104	1595	22.2083	22.209	58.456
k105_97832	3180	13.4231	13.4231	11.5092
k105_10932	1047	10.3266	10.3266	13.191
k105_10935	1017	10.5732	10.5732	5.4089
k105_32673	1034	49.8292	49.8292	545.17
k105_32674	1112	11.9522	11.9522	33.1857
k105_99	2707	13.1275	13.1275	16.2819
k105_102	1338	18.2702	18.2702	60.8259
k105_141213	43549	26.2099	26.2099	44.7008
k105_43503	1429	22.0172	22.0172	63.8586
k105_43509	1096	9.5444	9.5444	14.9996
k105_65243	1017	22.5513	22.5513	99.0837
k105_65246	1239	10.8182	10.8182	10.2114
k105_65248	3047	11.738	11.738	10.1914
k105_119589	1157	10.3833	10.3833	13.4374
k105_54394	1016	21.3291	21.3291	55.9968
k105_54396	1325	27.7694	27.7694	123.692
k105_152125	1221	10.1111	10.1111	14.4316
k105_21822	4615	21.776	21.776	78.8586
k105_152126	1160	79.5178	79.5178	93.4155
k105_86973	2364	10.7683	10.7683	5.93139
k105_86975	1093	26.6034	26.6034	85.2928
k105_86977	1214	21.5009	21.5009	121.483
k105_76105	5752	13.0316	13.0316	13.0072
k105_32678	1924	13.9594	13.9594	17.4366
k105_97843	1022	14.4828	14.4828	23.9951
k105_32679	1046	13.1853	13.1853	52.0685
k105_97844	1415	21.736	21.736	87.9366
k105_97848	2733	26.1289	26.1289	64.2794
k105_141215	1027	12.8404	12.8404	10.8968
k105_108	1456	9.29786	9.29786	11.5442
k105_109	1014	278.987	278.987	2806.42
k105_108685	1318	8.16781	8.16781	5.18517
k105_119591	3368	11.0886	11.0886	9.20294
k105_108687	1127	24.6663	24.6663	44.5442
k105_108691	1169	27.055	27.055	28.6335
k105_119597	1104	12.1216	12.1216	20.4091
k105_43516	1558	10.4787	10.4787	9.07558
k105_54397	6990	36.5499	36.5499	75.8911
k105_21824	4961	32.2819	32.2819	62.1276
k105_21828	2503	29.1776	29.1776	72.7682
k105_65261	1546	16.409	16.409	67.6198
k105_76115	1810	14.6349	14.6349	34.5116
k105_152136	1286	22.7086	22.7086	31.0807
k105_152139	1476	10.3032	10.3032	12.4589
k105_32700	1509	16.3613	16.362	63.1178
k105_152144	1094	12	12	26.0085
k105_141217	5874	20.3484	20.3485	37.3549
k105_86979	2403	24.6072	24.6072	48.1925
k105_141223	1998	11.1429	11.1429	11.8453
k105_86985	2132	16.1271	16.1271	47.4327
k105_141224	2233	12.3217	12.3217	13.5852
k105_97861	1817	9.58128	9.58128	7.20033
k105_10942	9720	244.761	244.761	1155.01
k105_10943	1683	114.77	114.77	1110.4
k105_54406	1413	18.1267	18.1267	10.5608
k105_118	1471	11.4762	11.4762	25.6467
k105_119	1454	11.5606	11.5606	16.7239
k105_21834	5494	50.2285	50.2285	193.143
k105_108701	1267	22.6938	22.6938	42.046
k105_76119	1254	6.88406	6.88406	2.68645
k105_65263	1282	17.4611	17.462	41.6759
k105_32704	3162	78.2789	78.2792	229.828
k105_162962	16609	23.1245	23.1245	41.0071
k105_32707	1802	74.5248	74.5254	148.077
k105_152151	1349	10.9783	10.9791	33.9168
k105_141233	1682	12.2311	12.2311	10.9485
k105_152154	1058	10.1894	10.1894	6.68291
k105_152157	1054	12.0586	12.0586	6.90797
k105_130416	5807	33.2029	33.2029	53.4285
k105_86986	2876	10.9806	10.9806	9.42966
k105_130417	1850	21.2071	21.2071	50.4239
k105_130420	1459	15.4339	15.4339	33.5807
k105_65266	1006	14.0607	14.0607	13.8396
k105_97865	1190	10.249	10.249	19.4462
k105_97867	1089	12.6411	12.6411	9.85725
k105_97869	1490	8.96567	8.96567	9.02496
k105_119612	2381	12.4671	12.4671	13.9046
k105_10958	2256	13.6648	13.6648	13.8867
k105_119615	1532	8.5369	8.5369	7.30601
k105_10960	1236	8.58656	8.58656	2.65561
k105_54417	2261	24.8143	24.8143	86.5846
k105_54419	2142	14.3238	14.3238	18.0142
k105_132	2142	40.9142	40.9142	340.425
k105_133	1183	13.4985	13.4985	28.3103
k105_108705	1115	14.0187	14.0187	29.0183
k105_21838	2954	18.3474	18.3474	35.1128
k105_21841	2221	150.029	150.029	853.286
k105_76129	4469	14.0046	14.0046	19.6475
k105_32712	2059	11.9099	11.9099	19.2697
k105_162979	1148	18.3527	18.3527	68.67
k105_32714	1054	11.4358	11.4358	8.7157
k105_152162	2720	219.581	219.581	3378.52
k105_141248	1020	10.208	10.208	5.91409
k105_130421	2740	13.3278	13.3278	13.4974
k105_65279	1750	9.77312	9.77312	6.7121
k105_97873	1124	11.0503	11.0503	11.0448
k105_65284	3124	15.9065	15.9065	21.1995
k105_97875	1922	14.9458	14.9458	11.8085
k105_97876	1013	9.69061	9.69061	3.72668
k105_119623	4184	19.5729	19.5729	27.5018
k105_10964	2294	31.7215	31.7215	83.8129
k105_10967	1457	26.9388	26.9388	55.7957
k105_54430	1820	10.9683	10.9683	17.9364
k105_139	1649	21.6171	21.6177	81.1349
k105_21844	2812	34.358	34.3584	105.859
k105_21847	1162	27.581	27.581	37.9529
k105_144	1583	10.5659	10.5659	10.1969
k105_76138	1409	16.8181	16.8181	22.1393
k105_108716	1959	15.4726	15.4726	36.9487
k105_108721	1814	40.6731	40.6731	74.3923
k105_141257	1740	20.9126	20.9126	27.9666
k105_32718	2611	16.7749	16.7749	25.851
k105_32721	1539	30.5004	30.5004	123.7
k105_130422	3190	17.6382	17.6382	32.8483
k105_152173	2149	22.6448	22.6448	88.3946
k105_87001	6594	16.7913	16.7913	17.913
k105_54438	2650	11.964	11.964	9.81544
k105_97878	1486	19.0891	19.0891	17.3306
k105_65287	1911	13.3112	13.3112	18.9406
k105_65289	1480	36.297	36.297	84.5973
k105_65290	1000	24.5918	24.5918	21.2477
k105_97887	1257	7.92954	7.92954	9.01671
k105_97888	1143	399.82	399.82	1085.02
k105_119634	1057	10.7806	10.7806	19.7874
k105_10976	2553	27.7561	27.7561	50.7664
k105_10979	1622	26.2928	26.2928	115.865
k105_21849	7055	189.322	189.322	465.818
k105_76147	4656	24.231	24.231	63.4298
k105_108731	1500	8.73556	8.73556	4.29398
k105_76149	1240	31.8468	31.8468	83.3989
k105_141260	2587	10.5913	10.5913	15.1656
k105_141263	1210	34.4113	34.4113	59.6478
k105_32729	3657	28.0693	28.0693	50.3188
k105_130432	1809	12.5907	12.5907	14.143
k105_152186	1502	9.59098	9.59098	12.8518
k105_87006	1427	9.72749	9.72749	13.5699
k105_87010	1566	48.8023	48.8023	141.598
k105_54449	1073	30.6869	30.6869	282.234
k105_97891	1698	17.5381	17.5381	18.9594
k105_65298	2280	29.7427	29.7427	84.8965
k105_97892	1696	24.1688	24.1688	53.0414
k105_65299	1754	13.3653	13.3653	13.3612
k105_119641	1036	10.5609	10.5609	3.87143
k105_119643	1086	12.2724	12.2724	13.1824
k105_10989	1742	12.8989	12.8989	19.1255
k105_21850	2484	35.3329	35.3329	127.918
k105_21851	3677	205.287	205.287	636.473
k105_108733	2739	26.2356	26.2356	73.0404
k105_108735	1533	9.65944	9.65944	8.13651
k105_108736	1047	9.57414	9.57414	11.5305
k105_141269	1416	8.17141	8.1722	6.68492
k105_141270	3992	38.8701	38.8701	86.3371
k105_162983	17143	273.582	273.582	21931.9
k105_32731	3771	16.3237	16.3237	30.1401
k105_162985	1384	12.9854	12.9862	13.7168
k105_130443	1951	12.0822	12.0822	18.3977
k105_130445	3776	28.5651	28.5651	51.7116
k105_152200	3717	15.8049	15.8049	14.1667
k105_54457	1135	12.6467	12.6467	9.8405
k105_54459	1791	14.3949	14.3949	19.6586
k105_65306	1055	17.8088	17.8099	57.1584
k105_65309	1061	12.9857	12.9857	8.53278
k105_97904	1888	15.8671	15.8671	26.1877
k105_97906	2504	55.2562	55.2562	492.321
k105_119646	3115	21.5653	21.5653	41.938
k105_21852	1751	20.0693	20.0693	34.6669
k105_145	14217	12.9713	12.9713	15.5858
k105_76159	5997	24.7857	24.7857	58.2952
k105_76163	1855	39.4592	39.4592	206.422
k105_152	1100	12.5547	12.5547	12.8795
k105_76164	1336	16.1341	16.1341	37.2065
k105_154	1257	11.7913	11.7913	18.1201
k105_108747	1324	13.2888	13.2888	10.9456
k105_141275	1690	9.32533	9.32533	6.69525
k105_141280	1728	19.3834	19.3834	147.79
k105_21859	1826	14.2578	14.2578	12.7168
k105_32739	1849	10.1583	10.1583	8.93661
k105_162988	5255	30.2507	30.2507	75.6088
k105_32750	1401	17.4365	17.4365	26.7278
k105_130468	1543	7.09189	7.09189	4.76169
k105_130471	1400	12.3464	12.3464	7.546
k105_130474	1021	9.37543	9.37658	8.27642
k105_130475	1554	25.1325	25.1325	165.118
k105_54470	1253	20.3083	20.3083	57.2006
k105_163000	1433	13.7841	13.7841	10.7607
k105_163003	1095	10.9979	10.9979	12.5593
k105_97908	2057	11.7153	11.7153	13.358
k105_87031	1831	14.2576	14.2576	23.6688
k105_97911	3272	15.3242	15.3242	30.2543
k105_87032	1087	9.95411	9.95411	11.892
k105_87039	2341	12.4386	12.4386	16.3139
k105_108759	2292	23.986	23.986	73.4702
k105_119649	6740	66.3892	66.3892	111.199
k105_108765	1305	13.8398	13.8398	36.248
k105_76165	1522	25.1472	25.1472	128.374
k105_152216	1290	13.9702	13.9702	24.8543
k105_152227	1935	23.4471	23.4471	47.2362
k105_141284	1104	11.9874	11.9874	20.0376
k105_141289	2873	15.4084	15.4084	27.3704
k105_119653	2367	28.9684	28.9684	25.6824
k105_119658	1269	59.731	59.731	622.362
k105_108770	1485	10.2704	10.2704	18.0385
k105_21862	1185	10.6976	10.6976	19.7139
k105_21863	2039	14.2975	14.2975	21.8627
k105_108775	2543	16.0493	16.0493	91.5119
k105_158	4061	12.6819	12.6819	19.9307
k105_160	1378	17.5692	17.5692	25.5103
k105_161	1665	11.3386	11.3386	17.1726
k105_163007	2175	17.1931	17.1931	20.9968
k105_163008	1053	8.53931	8.53931	4.10234
k105_76181	1594	11.9598	11.9598	12.8965
k105_87040	2586	26.8091	26.8091	97.0112
k105_87044	1303	14.7337	14.7337	24.9421
k105_141293	2304	30.8069	30.8069	86.4198
k105_141297	1113	269.71	269.711	14095.4
k105_141299	1045	11.876	11.876	15.3415
k105_119666	1417	60.5028	60.5028	1175.99
k105_21866	2668	24.5608	24.5608	48.2077
k105_21868	1037	8.53326	8.53326	3.61938
k105_119667	2895	58.7348	58.7348	181.39
k105_32754	2032	24.2604	24.2604	162.457
k105_32755	2265	9.73381	9.73381	7.34114
k105_152233	4235	23.2646	23.2646	82.8184
k105_163012	1577	14.2733	14.2733	19.0431
k105_163019	1285	12.4617	12.4617	15.344
k105_171	2210	17.7393	17.7393	62.2208
k105_177	1484	38.1087	38.1094	362.308
k105_10998	21144	20.9304	20.9304	34.8866
k105_108776	1136	85.5152	85.5152	265.375
k105_76191	1352	18.5341	18.5341	48.9185
k105_76192	1853	28.916	28.916	36.4454
k105_97939	1910	10.8676	10.8676	8.74826
k105_130484	1574	12.7044	12.7044	20.2182
k105_130485	1327	14.2048	14.2048	41.0081
k105_87062	1495	8.8855	8.8855	4.25031
k105_87068	1087	9.49306	9.49306	7.61773
k105_21871	2130	8.76818	8.76818	9.86394
k105_141300	2378	18.8797	18.8797	80.7087
k105_141305	1084	12.3769	12.3769	14.1965
k105_21877	3466	40.7385	40.7385	139.976
k105_152247	1306	11.9334	11.9343	6.08919
k105_119670	5049	24.0033	24.0033	75.3706
k105_54475	16005	27.1087	27.1087	34.8437
k105_32768	4768	70.4855	70.4855	296.01
k105_184	2666	12.0994	12.0994	10.7878
k105_32775	1565	334.848	334.848	608.887
k105_11011	1758	14.8495	14.8495	30.8026
k105_108789	1067	46.2017	46.2017	51.1415
k105_76197	1043	21.8331	21.8331	92.1861
k105_76199	1119	12.8039	12.8039	9.92225
k105_76200	1453	11.307	11.307	7.81507
k105_97942	4186	17.1606	17.1606	32.5224
k105_130493	1386	14.8261	14.8261	32.9713
k105_130494	1218	24.4148	24.4148	83.765
k105_130495	1348	10.0342	10.0351	7.21516
k105_87071	2521	18.9823	18.9823	119.098
k105_87072	3070	20.9938	20.9938	31.6423
k105_21880	1408	17.6876	17.6876	15.7107
k105_141307	5370	16.0347	16.0347	20.94
k105_21883	2299	10.1768	10.1768	9.73503
k105_141312	1556	7.27952	7.27952	5.57803
k105_152248	7234	247.561	247.561	2647.83
k105_119681	2513	81.8752	81.8752	300.904
k105_54477	7172	31.6262	31.6262	75.709
k105_54478	1309	7.478	7.478	6.74542
k105_163043	3380	49.2557	49.2557	369.55
k105_32776	1017	109.308	109.308	3214.24
k105_188	1079	19.2454	19.2454	92.1487
k105_32778	1697	12.9315	12.9315	13.9668
k105_32782	1146	7.03815	7.03815	4.40659
k105_11012	4309	19.6737	19.6737	43.0811
k105_65315	32249	23.5205	23.5205	38.9949
k105_11022	1622	14.9538	14.9538	50.5077
k105_108797	3576	11.2417	11.2417	17.7868
k105_108798	1530	252.519	252.519	1117.56
k105_76211	2328	19.0776	19.0776	36.7633
k105_108799	2701	12.3583	12.3583	11.7673
k105_163046	3425	24.8965	24.8965	58.7858
k105_108807	1695	9.19482	9.19482	10.8125
k105_163050	1802	11.9177	11.9177	14.8036
k105_108809	2830	12.9295	12.9295	20.3746
k105_130499	1396	15.0819	15.0819	21.9066
k105_130501	1176	35.0409	35.0409	398.851
k105_97966	1283	8.72462	8.72462	5.46648
k105_130505	1399	9.89512	9.89512	16.751
k105_97971	1219	10.1197	10.1197	20.8208
k105_97976	1010	11.1488	11.1488	11.7939
k105_130508	3730	14.8528	14.8528	18.3905
k105_130509	1076	7.2689	7.2689	2.59464
k105_87074	1437	14.0528	14.0528	19.274
k105_11025	4582	13.6828	13.6828	22.4671
k105_87079	1501	11.473	11.473	20.0303
k105_11033	1025	11.144	11.144	27.1646
k105_141313	1149	11.8879	11.8879	9.79303
k105_141317	1170	10.0912	10.0912	12.3322
k105_141320	1558	11.7706	11.7706	7.79739
k105_141326	1081	9.97959	9.97959	10.7383
k105_119690	1951	13.618	13.618	14.0406
k105_119696	1752	13.3826	13.3826	23.9116
k105_163055	2068	26.8118	26.8118	65.557
k105_163059	1025	12.0789	12.0789	14.3541
k105_54483	1106	13.1789	13.1789	27.8538
k105_54492	1019	9.10702	9.10702	5.92516
k105_32788	2622	9.84264	9.84264	10.6385
k105_97984	1258	8.12004	8.12004	5.21684
k105_97987	1109	11.9958	11.9958	11.5281
k105_65320	1362	13.4274	13.4274	9.60247
k105_97989	1264	11.6831	11.6831	25.9453
k105_21887	2030	22.9388	22.9388	28.6355
k105_21888	1384	14.9068	14.9068	19.1227
k105_152249	3584	27.6241	27.6241	175.715
k105_65324	2788	28.3942	28.3942	84.054
k105_65327	1028	9.09453	9.09453	19.3491
k105_152250	2966	18.7283	18.7283	62.9232
k105_152251	3056	26.1831	26.1831	39.4079
k105_198	2871	9.96582	9.96582	10.8707
k105_200	1537	14.5472	14.5472	36.4774
k105_32795	1732	11.6106	11.6106	10.8173
k105_207	1486	15.4274	15.4274	24.8142
k105_32800	2341	28.7864	28.7864	407.372
k105_21906	1195	8.19426	8.19426	11.7964
k105_119699	1766	19.6194	19.6194	37.2676
k105_119702	1207	8.26206	8.26206	6.5875
k105_152257	1186	17.3929	17.3929	20.3682
k105_152258	1298	9.7047	9.7047	16.7261
k105_218	1260	7.71712	7.71712	4.04436
k105_87083	4452	25.0246	25.0246	54.9123
k105_87086	1420	12.715	12.715	8.51128
k105_152270	1094	10.9513	10.9513	9.9955
k105_152272	1208	12.9877	12.9877	30.9223
k105_152275	1052	10.3991	10.3991	17.0392
k105_21921	1162	15.5583	15.5583	21.9679
k105_76222	9140	26.1904	26.1904	44.4602
k105_21922	1999	33.0882	33.0887	89.2729
k105_11040	1153	9.41476	9.41476	5.25096
k105_130520	1419	17.0173	17.0173	24.8514
k105_11042	1212	9.94821	9.94821	9.1369
k105_11043	1085	7.58717	7.58717	6.68804
k105_11044	1658	12.2871	12.2871	48.156
k105_65333	1322	11.7176	11.7176	12.5222
k105_65335	1025	17.3417	17.3417	16.6508
k105_54494	9397	17.9969	17.9969	28.6284
k105_97996	1163	19.8401	19.8401	23.265
k105_54499	1288	11.623	11.623	12.4742
k105_97999	2408	13.826	13.826	34.431
k105_32809	1335	24.5181	24.5181	172.625
k105_233	1281	11.8603	11.8603	15.9362
k105_32811	4229	24.1287	24.1287	69.5715
k105_108810	1238	13.9108	13.9108	18.4934
k105_163061	8001	17.5339	17.5339	23.1917
k105_163066	1629	11.2015	11.2015	8.1326
k105_108817	1645	64.6375	64.6375	166.681
k105_163068	1030	17.2295	17.2295	24.5979
k105_152278	1148	28.8657	28.8657	180.016
k105_152279	1292	16.5946	16.5954	24.9212
k105_141339	2221	14.4283	14.4283	17.5667
k105_21923	1115	11.7409	11.7409	9.49299
k105_141340	1298	8.31707	8.31707	8.80438
k105_21928	3188	24.6735	24.6735	59.2226
k105_11047	1236	9.98343	9.98343	7.54258
k105_98002	1512	10.5147	10.5147	17.2403
k105_130530	1065	8.92678	8.92678	7.01322
k105_98008	1685	9.80782	9.80782	11.5464
k105_65336	3822	28.0139	28.0139	74.7992
k105_65338	1271	13.7788	13.7788	12.4082
k105_235	2308	11.3197	11.3197	10.5709
k105_236	1225	12.6642	12.6642	30.9531
